"species"	"site"	"season"	"count"
"5"	"92"	"1"	0
"1"	"93"	"1"	NA
"2"	"93"	"1"	NA
"3"	"93"	"1"	NA
"4"	"93"	"1"	NA
"5"	"93"	"1"	NA
"1"	"94"	"1"	0
"2"	"94"	"1"	0
"3"	"94"	"1"	0
"4"	"94"	"1"	0
"5"	"94"	"1"	0
"1"	"95"	"1"	NA
"2"	"95"	"1"	NA
"3"	"95"	"1"	NA
"4"	"95"	"1"	NA
"5"	"95"	"1"	NA
"1"	"1"	"2"	0
"2"	"1"	"2"	0
"3"	"1"	"2"	0
"4"	"1"	"2"	0
"5"	"1"	"2"	0
"1"	"2"	"2"	NA
"2"	"2"	"2"	NA
"3"	"2"	"2"	NA
"4"	"2"	"2"	NA
"5"	"2"	"2"	NA
"1"	"3"	"2"	1
"2"	"3"	"2"	0
"3"	"3"	"2"	0
"4"	"3"	"2"	4
"5"	"3"	"2"	0
"1"	"4"	"2"	0
"2"	"4"	"2"	0
"3"	"4"	"2"	0
"4"	"4"	"2"	0
"5"	"4"	"2"	0
"1"	"5"	"2"	0
"2"	"5"	"2"	0
"3"	"5"	"2"	0
"4"	"5"	"2"	0
"5"	"5"	"2"	0
"1"	"6"	"2"	0
"2"	"6"	"2"	0
"3"	"6"	"2"	0
"4"	"6"	"2"	0
"5"	"6"	"2"	0
"1"	"7"	"2"	0
"2"	"7"	"2"	0
"3"	"7"	"2"	0
"4"	"7"	"2"	0
"5"	"7"	"2"	0
"1"	"8"	"2"	0
"2"	"8"	"2"	0
"3"	"8"	"2"	0
"4"	"8"	"2"	0
"5"	"8"	"2"	0
"1"	"9"	"2"	0
"2"	"9"	"2"	0
"3"	"9"	"2"	0
"4"	"9"	"2"	0
"5"	"9"	"2"	0
"1"	"10"	"2"	0
"2"	"10"	"2"	0
"3"	"10"	"2"	0
"4"	"10"	"2"	0
"5"	"10"	"2"	0
"1"	"11"	"2"	0
"2"	"11"	"2"	0
"3"	"11"	"2"	0
"4"	"11"	"2"	0
"5"	"11"	"2"	0
"1"	"12"	"2"	0
"2"	"12"	"2"	0
"3"	"12"	"2"	0
"4"	"12"	"2"	0
"5"	"12"	"2"	1
"1"	"13"	"2"	5
"2"	"13"	"2"	0
"3"	"13"	"2"	0
"4"	"13"	"2"	2
"5"	"13"	"2"	0
"1"	"14"	"2"	0
"2"	"14"	"2"	0
"3"	"14"	"2"	0
"4"	"14"	"2"	13
"5"	"14"	"2"	2
"1"	"15"	"2"	6
"2"	"15"	"2"	0
"3"	"15"	"2"	3
"4"	"15"	"2"	0
"5"	"15"	"2"	0
"1"	"16"	"2"	0
"2"	"16"	"2"	0
"3"	"16"	"2"	1
"4"	"16"	"2"	14
"5"	"16"	"2"	0
"1"	"17"	"2"	7
"2"	"17"	"2"	0
"3"	"17"	"2"	0
"4"	"17"	"2"	1
"5"	"17"	"2"	0
"1"	"18"	"2"	1
"2"	"18"	"2"	0
"3"	"18"	"2"	0
"4"	"18"	"2"	1
"5"	"18"	"2"	0
"1"	"19"	"2"	4
"2"	"19"	"2"	0
"3"	"19"	"2"	0
"4"	"19"	"2"	5
"5"	"19"	"2"	1
"1"	"20"	"2"	0
"2"	"20"	"2"	0
"3"	"20"	"2"	0
"4"	"20"	"2"	14
"5"	"20"	"2"	2
"1"	"21"	"2"	3
"2"	"21"	"2"	0
"3"	"21"	"2"	0
"4"	"21"	"2"	6
"5"	"21"	"2"	0
"1"	"22"	"2"	2
"2"	"22"	"2"	0
"3"	"22"	"2"	0
"4"	"22"	"2"	4
"5"	"22"	"2"	0
"1"	"23"	"2"	4
"2"	"23"	"2"	0
"3"	"23"	"2"	0
"4"	"23"	"2"	3
"5"	"23"	"2"	0
"1"	"24"	"2"	0
"2"	"24"	"2"	0
"3"	"24"	"2"	0
"4"	"24"	"2"	6
"5"	"24"	"2"	0
"1"	"25"	"2"	0
"2"	"25"	"2"	0
"3"	"25"	"2"	0
"4"	"25"	"2"	0
"5"	"25"	"2"	0
"1"	"26"	"2"	0
"2"	"26"	"2"	0
"3"	"26"	"2"	0
"4"	"26"	"2"	0
"5"	"26"	"2"	0
"1"	"27"	"2"	0
"2"	"27"	"2"	0
"3"	"27"	"2"	0
"4"	"27"	"2"	0
"5"	"27"	"2"	0
"1"	"28"	"2"	0
"2"	"28"	"2"	0
"3"	"28"	"2"	0
"4"	"28"	"2"	2
"5"	"28"	"2"	0
"1"	"29"	"2"	NA
"2"	"29"	"2"	NA
"3"	"29"	"2"	NA
"4"	"29"	"2"	NA
"5"	"29"	"2"	NA
"1"	"30"	"2"	0
"2"	"30"	"2"	0
"3"	"30"	"2"	0
"4"	"30"	"2"	0
"5"	"30"	"2"	2
"1"	"31"	"2"	0
"2"	"31"	"2"	0
"3"	"31"	"2"	0
"4"	"31"	"2"	0
"5"	"31"	"2"	0
"1"	"32"	"2"	0
"2"	"32"	"2"	0
"3"	"32"	"2"	0
"4"	"32"	"2"	0
"5"	"32"	"2"	0
"1"	"33"	"2"	NA
"2"	"33"	"2"	NA
"3"	"33"	"2"	NA
"4"	"33"	"2"	NA
"5"	"33"	"2"	NA
"1"	"34"	"2"	0
"2"	"34"	"2"	0
"3"	"34"	"2"	0
"4"	"34"	"2"	0
"5"	"34"	"2"	0
"1"	"35"	"2"	0
"2"	"35"	"2"	0
"3"	"35"	"2"	0
"4"	"35"	"2"	0
"5"	"35"	"2"	0
"1"	"36"	"2"	0
"2"	"36"	"2"	0
"3"	"36"	"2"	0
"4"	"36"	"2"	0
"5"	"36"	"2"	0
"1"	"37"	"2"	0
"2"	"37"	"2"	0
"3"	"37"	"2"	0
"4"	"37"	"2"	0
"5"	"37"	"2"	0
"1"	"38"	"2"	2
"2"	"38"	"2"	0
"3"	"38"	"2"	0
"4"	"38"	"2"	6
"5"	"38"	"2"	0
"1"	"39"	"2"	0
"2"	"39"	"2"	0
"3"	"39"	"2"	0
"4"	"39"	"2"	0
"5"	"39"	"2"	0
"1"	"40"	"2"	0
